Site,label_metal,E_ads,max_d_CO,min_d_CO,OCO_ang,PE_h,IP_h,EA_h,rs_h,rp_h,rd_h,rval_h,bulk_nnd,PE_sa,IP_sa,EA_sa,rs_sa,rp_sa,rd_sa,rval_sa,PE_site,IP_site,EA_site,PE_snn,IP_snn,EA_snn,CN,gen_CN,site_no
Pd_110_Ir_sub_OCO_ontop_SA-C,2,-0.29553,0.0985,0.0985,129.85,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.2,8.5913,0.893,2.2,8.3847,0.62,4.3333,5.75,3
Pd_110_Ir_sub_OCO_short_SA-C,2,-0.56885,0.084,0.0707,137.18,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.2,8.7185,1.061,2.2,8.4006,0.641,5.0,5.7778,2
Pd_110_Ni_sub_OCO_hollow_SA-O,2,-0.45935,0.1225,0.1074,123.82,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,2.1275,8.1627,0.7067,2.1855,8.3021,0.587,4.0,6.1111,4
Pd_110_Ni_sub_OCO_long_SA-O,2,-0.48291,0.0953,0.0505,134.35,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,2.055,7.9885,0.8565,2.1793,8.2872,0.5998,6.0,5.9,2
Pd_110_Ni_sub_OCO_short_SA-O,2,-0.63206,0.0935,0.0421,137.58,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,2.055,7.9885,0.8565,2.1758,8.2789,0.6069,5.0,5.7778,2
Pd_110_Os_sub_OCO_long_SA-C,2,-0.69603,0.1051,0.0757,133.07,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.5185,0.8285,2.2,8.3629,0.5958,6.0,5.9,2
Pd_110_Os_sub_OCO_ontop_SA-C,2,-0.24144,0.1003,0.1002,128.53,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.458,0.738,2.2,8.3597,0.5909,4.3333,5.75,3
Pd_110_Os_sub_OCO_short_SA-O,2,-0.63925,0.1676,0.0357,127.3,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.5185,0.8285,2.2,8.3673,0.6023,5.0,5.7778,2
Pd_110_Pt_sub_OCO_long_SA-C,2,-0.38357,0.1079,0.0575,129.85,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.24,8.6685,1.3425,2.2057,8.3844,0.6692,6.0,5.9,2
Pd_110_Pt_sub_OCO_ontop_SA-C,2,-0.14134,0.069,0.069,138.46,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.28,9.0,2.128,2.21,8.4199,0.7534,7.0,5.8333,1
Pd_110_Rh_sub_OCO_long_SA-O,2,-0.55400,0.1043,0.0515,131.96,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.24,7.898,0.847,2.2057,8.2743,0.5984,6.0,5.9,2
Pd_110_Rh_sub_OCO_long_SA-C,2,-0.60412,0.0825,0.0726,135.43,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.24,7.898,0.847,2.2057,8.2743,0.5984,6.0,5.9,2
Pd_110_Rh_sub_OCO_hollow_SA-O,2,-0.44775,0.1318,0.1076,122.29,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.22,8.1175,0.702,2.204,8.2931,0.586,4.0,6.1111,4
Pd_110_Rh_sub_OCO_ontop_SA-C,2,-0.07745,0.0848,0.0847,134.9,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.2267,8.0443,0.7503,2.205,8.2821,0.5933,4.3333,5.75,3
Pd_110_Rh_sub_OCO_short_SA-O,2,-0.63832,0.1047,0.0424,135.22,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.24,7.898,0.847,2.2067,8.2638,0.6053,5.0,5.7778,2
Pd_110_Rh_sub_OCO_short_SA-C,2,-0.48339,0.0711,0.0649,140.12,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.24,7.898,0.847,2.2067,8.2638,0.6053,5.0,5.7778,2
Pd_110_Ru_sub_OCO_short_SA-O,2,-0.72659,0.1261,0.0406,131.97,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,7.849,0.8035,2.2,8.2557,0.5981,5.0,5.7778,2
Pd_110_Ru_sub_OCO_long_SA-C,2,-0.75530,0.0908,0.0776,134.05,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,7.849,0.8035,2.2,8.2673,0.5922,6.0,5.9,2
Pd_110_Ru_sub_OCO_long_SA-O,2,-0.63575,0.1174,0.0498,130.04,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,7.849,0.8035,2.2,8.2673,0.5922,6.0,5.9,2
Pd_110_Ru_sub_OCO_hollow_SA-O,2,-0.67484,0.1456,0.1055,121.76,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,8.093,0.6803,2.2,8.2882,0.5817,4.0,6.1111,4
Pd_110_Ru_sub_OCO_short_SA-C,2,-0.76672,0.0843,0.0691,137.87,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,7.849,0.8035,2.2,8.2557,0.5981,5.0,5.7778,2
Pd_110_Zn_sub_OCO_hollow_SA-O,2,-0.21219,0.1243,0.1125,122.41,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.65,9.394,0.0,1.105,0,0.2998,1.105,2.0625,8.6013,0.4178,2.1725,8.3898,0.5292,4.0,6.1111,4
Pd_110_Zn_sub_OCO_long_SA-O,2,-0.17781,0.0823,0.0519,136.84,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.65,9.394,0.0,1.105,0,0.2998,1.105,1.925,8.8655,0.2785,2.1607,8.4125,0.5172,6.0,5.9,2
Pd_110_Zn_sub_OCO_short_SA-O,2,-0.33541,0.0923,0.0417,137.93,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.65,9.394,0.0,1.105,0,0.2998,1.105,1.925,8.8655,0.2785,2.1542,8.4251,0.5106,5.0,5.7778,2
Pd_110_OCO_long,2,-0.25271,0.0856,0.0534,135.3,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.2,8.337,0.557,2.2,8.337,0.557,6.0,5.9,2
Pd_110_OCO_ontop,2,-0.07473,0.0464,0.0463,147.52,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.2,8.337,0.557,2.2,8.337,0.557,7.0,5.8333,1
Pd_110_OCO_short,2,-0.32924,0.0919,0.0438,137.35,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.2,8.337,0.557,2.2,8.337,0.557,5.0,5.7778,2
Pd_211_Cu_sub_OCO_bridge2-s_SA-O,2,-0.39158,0.0841,0.0437,139.25,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.05,8.0315,0.8925,2.175,8.2861,0.6129,5.0,5.3889,2
Pd_211_Cu_sub_OCO_fcc-s_SA-O,2,-0.00654,0.1196,0.0521,132.95,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.1,8.1333,0.7807,2.1812,8.2988,0.5989,4.3333,6.0,3
Pd_211_Cu_sub_OCO_bridge3-s_SA-O,2,-0.17430,0.1036,0.039,136.25,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.05,8.0315,0.8925,2.1769,8.29,0.6086,5.5,6.1111,2
Pd_211_Cu_sub_OCO_bridge1-s_hcp-t_SA-O,2,-0.16507,0.0951,0.0721,129.51,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.125,8.1842,0.7248,2.1875,8.3115,0.585,5.0,7.1071,4
Pd_211_Ga_subs_OCO_bridge2-s_SA-O,2,-0.22732,0.1143,0.0416,133.73,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.81,5.999,0.3,1.0034,1.3398,0.2824,1.3398,2.005,7.168,0.4285,2.1675,8.1422,0.5356,5.0,5.3889,2
Pd_211_Ir_subs_OCO_bridge3-s_SA-O,2,-0.30924,0.1381,0.0366,130.71,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.2,8.7185,1.061,2.2,8.3957,0.6345,5.5,6.1111,2
Pd_211_Ir_subs_OCO_ontop-s_SA-C,2,-0.42517,0.1074,0.0321,141.23,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.2,9.1,1.565,2.2,8.4324,0.683,7.0,5.5,1
Pd_211_Ir_subs_OCO_ontop-s_2_SA-C,2,-0.68236,0.0964,0.0962,130.17,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.2,8.5913,0.893,2.2,8.3847,0.62,4.3333,5.3333,3
Pd_211_Ir_subs_OCO_bridge2-s_SA-O,2,-0.44475,0.1169,0.0406,133.33,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.2,8.7185,1.061,2.2,8.4006,0.641,5.0,5.3889,2
Pd_211_Ni_subs_OCO_bridge3-s_SA-O,2,-0.40283,0.1115,0.03848,134.85,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,2.055,7.9885,0.8565,2.1793,8.2872,0.5998,5.5,6.1111,2
Pd_211_Ni_subs_OCO_bridge2-s_SA-O,2,-0.68344,0.0908,0.04447,137.8,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,2.055,7.9885,0.8565,2.1777,8.2834,0.6031,5.0,5.3889,2
Pd_211_Os_subs_OCO_fcc-s_SA-O,2,-0.29152,0.1845,0.0437,126.85,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.458,0.738,2.2,8.3597,0.5909,4.3333,6.0,3
Pd_211_Os_subs_OCO_bridge3-s_SA-O,2,-0.46817,0.1604,0.0344,128.45,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.5185,0.8285,2.2,8.3649,0.5988,5.5,6.1111,2
Pd_211_Os_subs_OCO_ontop-s_SA-C,2,-0.75387,0.1321,0.0338,138.02,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.7,1.1,2.2,8.3824,0.6249,7.0,5.5,1
Pd_211_Os_subs_OCO_bridge1-s_SA-O,2,-0.51400,0.1636,0.0482,124.03,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.5185,0.8285,2.2,8.3612,0.5932,6.5,7.2222,2
Pd_211_Os_subs_OCO_bridge2-s_SA-O,2,-0.71432,0.1553,0.0372,128.57,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.5185,0.8285,2.2,8.3673,0.6023,5.0,5.3889,2
Pd_211_Os_subs_OCO_ontop-s_2_SA-C,2,-0.74934,0.0988,0.0988,129.01,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.458,0.738,2.2,8.3597,0.5909,4.3333,5.3333,3
Pd_211_Pt_subs_OCO_bridge3-s_SA-C,2,-0.09041,0.1122,0.0469,132.97,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.24,8.6685,1.3425,2.2062,8.388,0.6778,5.5,6.1111,2
Pd_211_Pt_subs_OCO_bridge3-s_SA-O,2,-0.03370,0.119,0.0389,132.95,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.24,8.6685,1.3425,2.2062,8.388,0.6778,5.5,6.1111,2
Pd_211_Pt_subs_OCO_bridge2-s_SA-O,2,-0.21061,0.1016,0.0424,135.59,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.24,8.6685,1.3425,2.2067,8.3923,0.6879,5.0,5.3889,2
Pd_211_Pt_subs_OCO_ontop-s_SA-C,2,-0.24725,0.0746,0.0745,136.96,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.2267,8.558,1.0807,2.205,8.3784,0.6552,4.3333,5.3333,3
Pd_211_Pt_subs_OCO_bridge2-s_SA-C,2,-0.43528,0.1079,0.0487,133.08,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.24,8.6685,1.3425,2.2067,8.3923,0.6879,5.0,5.3889,2
Pd_211_Rh_subs_OCO_ontop-s_SA-C,2,-0.32813,0.0822,0.029,145.67,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.28,7.459,1.137,2.21,8.2273,0.6295,7.0,5.5,1
Pd_211_Rh_subs_OCO_bridge3-s_SA-O,2,-0.43297,0.1171,0.0391,133.36,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.24,7.898,0.847,2.2062,8.2695,0.6016,5.5,6.1111,2
Pd_211_Rh_subs_OCO_ontop-s_2_SA-C,2,-0.42870,0.0881,0.0881,133.33,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.2267,8.0443,0.7503,2.205,8.2821,0.5933,4.3333,5.3333,3
Pd_211_Rh_subs_OCO_bridge2-s_SA-C,2,-0.55910,0.0753,0.0689,139.02,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.24,7.898,0.847,2.2067,8.2638,0.6053,5.0,5.3889,2
Pd_211_Rh_subs_OCO_bridge2-s_SA-O,2,-0.60712,0.0991,0.0432,136.08,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.24,7.898,0.847,2.2067,8.2638,0.6053,5.0,5.3889,2
Pd_211_Ru_subs_OCO_ontop-s_SA-C,2,-0.58214,0.1037,0.0329,141.6,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,7.361,1.05,2.2,8.215,0.6186,7.0,5.5,1
Pd_211_Ru_subs_OCO_bridge3-s_SA-O,2,-0.56979,0.1342,0.0371,131.49,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,7.849,0.8035,2.2,8.2619,0.5949,5.5,6.1111,2
Pd_211_Ru_subs_OCO_ontop_s_2_SA-C,2,-0.55890,0.0964,0.0964,130.66,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,8.0117,0.7213,2.2,8.276,0.5878,4.3333,5.3333,3
Pd_211_Ru_subs_OCO_bridge2-s_SA-C,2,-0.62249,0.0835,0.0708,138.78,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,7.849,0.8035,2.2,8.2557,0.5981,5.0,5.3889,2
Pd_211_Ru_subs_OCO_bridge2-s_SA-O,2,-0.73262,0.1159,0.0411,133.65,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,7.849,0.8035,2.2,8.2557,0.5981,5.0,5.3889,2
Pd_211_Zn_sub_OCO_bridge2-s_SA-O,2,-0.33135,0.0905,0.0437,137.96,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.65,9.394,0.0,1.105,0,0.2998,1.105,1.925,8.8655,0.2785,2.1542,8.4251,0.5106,5.0,5.3889,2
Pd_211_Zn_sub_OCO_bridge3-s_SA-O,2,-0.04249,0.1073,0.0387,135.55,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.65,9.394,0.0,1.105,0,0.2998,1.105,1.925,8.8655,0.2785,2.1577,8.4183,0.5142,5.5,6.1111,2
Pd_211_Zn_sub_OCO_bridge1-s_hcp-t_SA-O,2,-0.11791,0.1018,0.0718,128.26,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.65,9.394,0.0,1.105,0,0.2998,1.105,2.0625,8.6013,0.4178,2.1771,8.381,0.5338,5.0,7.1071,4
Pd_211_OCO_hcp-s,2,-0.02149,0.0964,0.0385,137.96,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.2,8.337,0.557,2.2,8.337,0.557,4.3333,6.0,3
Pd_211_OCO_bridge3-s,2,-0.13769,0.0953,0.0416,136.5,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.2,8.337,0.557,2.2,8.337,0.557,5.5,6.1111,2
Pd_211_OCO_bridge1-t,2,-0.01120,0.0935,0.043,136.42,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.2,8.337,0.557,2.2,8.337,0.557,6.5,7.1667,2
Pd_211_OCO_bridge2-s,2,-0.28966,0.0819,0.0441,139.41,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.2,8.337,0.557,2.2,8.337,0.557,5.0,5.3889,2
Pd_211_OCO_ontop-s,2,-0.09043,0.0474,0.0474,147.41,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.2,8.337,0.557,2.2,8.337,0.557,7.0,5.5,1
Pd_211_OCO_bridge1-s_bridge2-t,2,-0.12982,0.09,0.0887,126.31,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.2,8.337,0.557,2.2,8.337,0.557,7.0,6.9667,3